country,capital,latitude,longitude,continent,area,population,pop_density,flag
Netherlands,Amsterdam,52.35,4.9166,Europe,"41,526.00","16,695,000.00",402,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/45px-Flag_of_the_Netherlands.svg.png
North Macedonia,Skopje,42,21.433333,Europe,"25,333.00","2,055,004.00",81.1,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_North_Macedonia.svg/46px-Flag_of_North_Macedonia.svg.png
Norway,Oslo,59.913889,10.752222,Europe,"324,220.00","4,691,849.00",14.4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/41px-Flag_of_Norway.svg.png
Poland,Warsaw,52.2167,21.0333,Europe,"312,685.00","38,038,000.00",121.6,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/46px-Flag_of_Poland.svg.png
Portugal,Lisbon,38.7452,-9.1604,Europe,"91,568.00","10,555,853.00",115.2,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/45px-Flag_of_Portugal.svg.png
Romania,Bucharest,44.4268,26.1025,Europe,"238,391.00","19,042,936.00",79.8,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/45px-Flag_of_Romania.svg.png
Russia,Moscow,55.7558,37.6178,Europe,"17,075,400.00","138,739,892.00",8.1,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/45px-Flag_of_Russia.svg.png
San Marino,San Marino City,43.9424,12.4578,Europe,61.00,"31,817.00",521.5,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_San_Marino.svg/40px-Flag_of_San_Marino.svg.png
Serbia,Belgrade,44.7866,20.4489,Europe,"77,474.00","7,310,555.00",94.3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Serbia.svg/45px-Flag_of_Serbia.svg.png
Slovakia,Bratislava,48.1486,17.1077,Europe,"48,845.00","5,435,273.00",111.2,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Slovakia.svg/45px-Flag_of_Slovakia.svg.png
Slovenia,Ljubljana,46.05,14.5167,Europe,"20,273.00","2,000,092.00",98.6,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Slovenia.svg/46px-Flag_of_Slovenia.svg.png
Spain,Madrid,40.416667,-3.716667,Europe,"504,851.00","46,144,000.00",91.4,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/45px-Flag_of_Spain.svg.png
Sweden,Stockholm,59.329444,18.068611,Europe,"449,964.00","9,088,728.00",20.1,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/46px-Flag_of_Sweden.svg.png
Switzerland,Bern,46.948056,7.4475,Europe,"41,290.00","7,639,961.00",185,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Switzerland.svg/32px-Flag_of_Switzerland.svg.png
Ukraine,Kyiv,50.45,30.523333,Europe,"603,628.00","45,134,707.00",74.7,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/45px-Flag_of_Ukraine.svg.png
United Kingdom,London,51.5072,-0.1275,Europe,"244,820.00","62,300,000.00",254.4,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/46px-Flag_of_the_United_Kingdom.svg.png
Vatican City,Vatican City,41.9029,12.4534,Europe,0.44,800.00,"1,818.10",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_the_Vatican_City.svg/32px-Flag_of_the_Vatican_City.svg.png
